
test accuracy = 0.800.
test loss = 0.529; 
Your model "frogEmbryo" is trained at 2020-02-24-15:18:35;

User inputs: {"selectedModel": "VGG16", "projectName": "frog_embryo", "modelName": "frogEmbryo", "userid": 43, "epoch": "20", "optimizer": "Adam", "learningRate": "0.0001", "train_batch_size": "8", "test_batch_size": "5", "useremail": "tyin1@mail.sfsu.edu"};

Class indices: {"0": "control", "1": "mutant"};


epoch; accuracy; loss; validation_accuracy; validation_loss:
0;0.53846157;0.8182568366710956;0.6000000238418579;0.5064975023269653
1;0.59615386;0.8639651674490708;0.75;0.4736578166484833
2;0.6923077;0.6472940078148475;0.75;0.4021657109260559
3;0.8076923;0.5078773957032424;0.75;0.5417991876602173
4;0.8035714;0.5433544218540192;0.75;0.3204684257507324
5;0.90384614;0.45654859909644496;0.800000011920929;0.3750317096710205
6;0.84615386;0.45568958612588734;0.800000011920929;0.2710133492946625
7;0.90384614;0.40131669778090256;0.8500000238418579;0.386532723903656
8;0.90384614;0.39042506309655994;0.8500000238418579;0.38505545258522034
9;0.9423077;0.33549197820516735;0.8500000238418579;0.2840315103530884
10;0.89285713;0.37152649249349323;0.8500000238418579;0.3827943205833435
11;0.9583333;0.2890896052122116;0.8500000238418579;0.231273353099823
12;0.90384614;0.3387384873170119;0.8500000238418579;1.0328611135482788
13;0.89285713;0.2853621393442154;0.8500000238418579;0.3920999765396118
14;0.9423077;0.27671924462685216;0.8500000238418579;0.4603504538536072
15;0.90384614;0.29136836528778076;0.8999999761581421;0.23142196238040924
16;0.91071427;0.26722811588219236;0.8500000238418579;0.32943812012672424
17;0.9166667;0.2684042962888877;0.8500000238418579;0.2963024079799652
18;0.96153843;0.22194623775207079;0.800000011920929;0.12899096310138702
19;0.90384614;0.2496319321485666;0.8500000238418579;0.2823520004749298
